,fips,number_rivers_and_streams,length_of_rivers_and_streams
726,18137,14,230.1
727,18139,12,205.1
728,18141,6,98.22
729,18143,8,102.03
730,18145,10,233.12
731,18147,15,137.52
732,18149,5,59.83
733,18151,6,79.73
734,18153,7,130.83
735,18155,6,56.07
736,18157,11,192.44
737,18159,8,61.92
738,18161,4,61.48
739,18163,5,52.72
740,18165,5,79.56
741,18167,9,117.92
742,18169,7,131.86
743,18171,7,95.7
744,18173,10,148.43
745,18175,18,268.87
746,18177,10,230.5
747,18179,6,102.07
748,18181,12,221.54
749,18183,10,145.07
750,19001,12,219.96
751,19003,7,137.12
752,19005,9,269.83
753,19007,10,211.46
754,19009,6,108.58
755,19011,11,169.77
756,19013,11,188.14
757,19015,5,143.54
758,19017,9,233.45
759,19019,13,226.31
760,19021,9,153.43
761,19023,9,255.08
762,19025,9,250.64
763,19027,10,185.06
764,19029,7,220.58
765,19031,8,206.74
766,19033,9,213.76
767,19035,7,208.33
768,19037,8,210.62
769,19039,6,132.43
770,19041,7,175.07
771,19043,8,285.14
772,19045,11,226.54
773,19047,8,172.94
774,19049,10,248.0
775,19051,12,269.32
776,19053,9,221.41
777,19055,7,154.13
778,19057,7,106.95
779,19059,3,83.98
780,19061,10,225.5
781,19063,5,83.83
782,19065,11,263.89
783,19067,7,191.14
784,19069,9,202.2
785,19071,10,196.07
786,19073,9,229.26
787,19075,3,83.87
788,19077,10,259.02
789,19079,10,173.4
790,19081,7,192.78
791,19083,7,222.81
792,19085,14,288.93
793,19087,7,184.41
794,19089,8,175.99
795,19091,6,100.11
796,19093,5,117.16
797,19095,8,172.12
798,19097,13,259.05
799,19099,8,213.87
800,19101,8,144.22
801,19103,6,184.48
802,19105,9,250.97
803,19107,8,219.55
804,19109,7,208.85
805,19111,8,221.61
806,19113,11,267.28
807,19115,9,155.09
808,19117,8,179.63
809,19119,9,210.08
810,19121,9,311.31
811,19123,10,260.96
812,19125,10,232.78
813,19127,12,202.82
814,19129,8,150.22
815,19131,5,147.18
816,19133,12,258.57
817,19135,10,105.9
818,19137,9,198.83
819,19139,9,143.91
820,19141,11,206.58
821,19143,6,132.03
822,19145,9,204.67
823,19147,9,197.47
824,19149,20,414.29
825,19151,8,296.13
826,19153,11,260.36
827,19155,16,440.33
828,19157,11,207.35
829,19159,10,237.58
830,19161,6,139.52
831,19163,10,188.58
832,19165,11,238.73
833,19167,15,354.37
834,19169,11,201.04
835,19171,8,236.1
836,19173,9,239.8
837,19175,10,217.05
838,19177,7,197.08
839,19179,6,138.62
840,19181,10,242.49
841,19183,10,232.46
842,19185,12,140.94
843,19187,11,295.74
844,19189,7,125.71
845,19191,9,228.89
846,19193,16,281.88
847,19195,5,94.14
848,19197,10,231.25
849,20001,12,211.12
850,20003,11,229.58
851,20005,14,167.37
852,20007,28,530.77
853,20009,16,328.55
854,20011,9,229.71
855,20013,10,200.06
856,20015,32,682.19
857,20017,21,429.76
858,20019,12,262.64
859,20021,11,254.86
860,20023,7,219.51
861,20025,22,497.0
862,20027,14,276.97
863,20029,19,326.11
864,20031,11,238.12
865,20033,18,344.69
866,20035,16,468.8
867,20037,7,165.08
868,20039,9,291.26
869,20041,13,367.97
870,20043,7,130.72
871,20045,9,152.48
872,20047,5,133.0
873,20049,15,274.81
874,20051,5,291.02
875,20053,14,215.95
876,20055,4,131.55
877,20057,15,370.18
878,20059,10,194.0
879,20061,15,224.65
880,20063,8,406.81
881,20065,6,213.1
882,20067,5,152.28
883,20069,7,118.78
884,20071,3,118.15
885,20073,24,592.72
886,20075,4,105.03
887,20077,19,430.82
888,20079,13,285.67
889,20081,2,13.7
890,20083,14,410.0
891,20085,14,239.69
892,20087,15,241.51
893,20089,22,358.49
894,20091,11,152.65
895,20093,2,64.72
896,20095,15,383.72
897,20097,13,325.54
898,20099,11,248.98
899,20101,8,212.04
900,20103,10,146.34
901,20105,16,367.07
902,20107,7,243.1
903,20109,10,434.07
904,20111,22,505.93
905,20113,16,309.72
906,20115,20,400.18
907,20117,13,312.72
908,20119,10,288.65
909,20121,9,219.0
910,20123,19,363.83
911,20125,11,276.58
912,20127,19,288.57
913,20129,2,126.35
914,20131,18,273.32
915,20133,11,237.07
916,20135,19,447.56
917,20137,7,241.71
918,20139,7,245.64
919,20141,16,367.64
920,20143,17,379.86
921,20145,10,321.82
922,20147,12,313.0
923,20149,9,252.86
924,20151,12,199.75
925,20153,11,394.62
926,20155,23,490.55
927,20157,15,310.3
928,20159,12,290.02
929,20161,15,316.26
930,20163,6,188.15
931,20165,13,230.79
932,20167,16,398.88
933,20169,10,369.83
934,20171,4,102.37
935,20173,24,503.42
936,20175,1,73.92
937,20177,11,234.48
938,20179,10,382.71
939,20181,11,391.58
940,20183,17,384.8
941,20185,7,218.16
942,20187,6,187.75
943,20189,2,28.66
944,20191,19,539.01
945,20193,9,475.56
946,20195,7,304.72
947,20197,22,294.29
948,20199,11,324.0
949,20201,17,349.89
950,20203,5,183.59
951,20205,9,219.45
952,20207,10,187.33
953,20209,3,48.04
954,21001,13,238.67
955,21003,9,215.3
956,21005,5,102.41
957,21007,8,103.03
958,21009,10,231.08
959,21011,7,181.14
960,21013,16,229.31
961,21015,11,134.03
962,21017,10,228.01
963,21019,4,53.0
964,21021,7,81.27
965,21023,10,120.68
966,21025,8,263.04
967,21027,20,338.9
968,21029,10,126.54
969,21031,15,260.97
970,21033,13,151.81
971,21035,12,170.18
