,fips,number_rivers_and_streams
1507,29129,8
1508,29131,6
1509,29133,6
1510,29135,8
1511,29137,12
1512,29139,7
1513,29141,12
1514,29143,9
1515,29145,11
1516,29147,15
1517,29149,10
1518,29151,9
1519,29153,11
1520,29155,5
1521,29157,13
1522,29159,7
1523,29161,11
1524,29163,18
1525,29165,6
1526,29167,10
1527,29169,7
1528,29171,9
1529,29173,9
1530,29175,11
1531,29177,9
1532,29179,14
1533,29181,10
1534,29183,10
1535,29185,10
1536,29186,10
1537,29187,10
1538,29189,7
1539,29195,11
1540,29197,9
1541,29199,14
1542,29201,9
1543,29203,8
1544,29205,9
1545,29207,7
1546,29209,7
1547,29211,10
1548,29213,6
1549,29215,20
1550,29217,12
1551,29219,13
1552,29221,8
1553,29223,8
1554,29225,13
1555,29227,5
1556,29229,10
1557,30001,145
1558,30003,112
1559,30005,66
1560,30007,18
1561,30009,37
1562,30011,68
1563,30013,34
1564,30015,55
1565,30017,86
1566,30019,16
1567,30021,51
1568,30023,33
1569,30025,39
1570,30027,103
1571,30029,100
1572,30031,76
1573,30033,65
1574,30035,64
1575,30037,21
1576,30039,38
1577,30041,35
1578,30043,38
1579,30045,40
1580,30047,30
1581,30049,75
1582,30051,27
1583,30053,84
1584,30055,67
1585,30057,103
1586,30059,43
1587,30061,19
1588,30063,52
1589,30065,34
1590,30067,75
1591,30069,32
1592,30071,59
1593,30073,38
1594,30075,66
1595,30077,60
1596,30079,40
1597,30081,52
1598,30083,42
1599,30085,36
1600,30087,90
1601,30089,49
1602,30091,20
1603,30093,16
1604,30095,42
1605,30097,42
1606,30099,48
1607,30101,25
1608,30103,20
1609,30105,70
1610,30107,33
1611,30109,26
1612,30111,52
1613,31001,15
1614,31003,14
1615,31005,0
1616,31007,4
1617,31009,6
1618,31011,13
1619,31013,12
1620,31015,16
1621,31017,17
1622,31019,19
1623,31021,11
1624,31023,12
1625,31025,18
1626,31027,14
1627,31029,5
1628,31031,31
1629,31033,4
1630,31035,13
1631,31037,10
1632,31039,16
1633,31041,24
1634,31043,6
1635,31045,32
1636,31047,11
1637,31049,2
1638,31051,12
1639,31053,11
1640,31055,7
1641,31057,13
1642,31059,11
1643,31061,14
1644,31063,12
1645,31065,9
1646,31067,21
1647,31069,4
1648,31071,11
1649,31073,7
1650,31075,3
1651,31077,20
1652,31079,12
1653,31081,9
1654,31083,15
1655,31085,5
1656,31087,12
1657,31089,31
1658,31091,5
1659,31093,19
1660,31095,10
1661,31097,10
1662,31099,6
1663,31101,5
1664,31103,25
1665,31105,1
1666,31107,21
1667,31109,21
1668,31111,17
1669,31113,7
1670,31119,10
1671,31121,11
1672,31123,11
1673,31125,14
1674,31127,6
1675,31129,17
1676,31131,9
1677,31133,13
1678,31135,4
1679,31137,5
1680,31139,7
1681,31141,13
1682,31143,7
1683,31145,13
1684,31147,12
1685,31149,16
1686,31151,14
1687,31153,10
1688,31155,16
1689,31157,8
1690,31159,15
1691,31161,18
1692,31163,16
1693,31165,30
1694,31167,12
1695,31169,9
1696,31171,4
1697,31173,12
1698,31175,20
1699,31177,9
1700,31179,12
1701,31181,22
1702,31183,8
1703,31185,7
1704,32001,19
1705,32003,23
1706,32005,9
1707,32007,202
1708,32009,13
1709,32011,42
1710,32013,95
1711,32015,31
1712,32017,33
1713,32019,6
1714,32021,10
1715,32023,46
1716,32027,24
1717,32029,2
1718,32031,37
1719,32033,40
1720,32510,2
1721,33001,18
1722,33003,35
1723,33005,28
1724,33007,43
1725,33009,58
1726,33011,39
1727,33013,39
1728,33015,30
1729,33017,16
1730,33019,31
1731,34001,13
1732,34003,8
1733,34005,27
1734,34007,5
1735,34009,6
1736,34011,9
1737,34013,3
1738,34015,8
1739,34017,2
1740,34019,13
1741,34021,10
1742,34023,12
1743,34025,15
1744,34027,17
1745,34029,27
1746,34031,11
1747,34033,8
1748,34035,16
1749,34037,15
1750,34039,5
1751,34041,7
1752,35001,9
1753,35003,45
1754,35005,19
1755,35006,27
1756,35007,43
1757,35009,2
1758,35011,15
1759,35013,5
1760,35015,14
1761,35017,32
1762,35019,23
1763,35021,13
1764,35023,13
1765,35025,0
1766,35027,20
1767,35028,3
1768,35029,3
1769,35031,51
1770,35033,29
1771,35035,16
1772,35037,30
1773,35039,50
1774,35041,2
1775,35043,49
1776,35045,55
1777,35047,58
1778,35049,24
1779,35051,31
1780,35053,30
1781,35055,27
1782,35057,9
1783,35059,28
1784,35061,10
1785,36001,13
1786,36003,29
1787,36005,2
1788,36007,19
1789,36009,32
1790,36011,15
1791,36013,25
1792,36015,11
1793,36017,32
1794,36019,22
1795,36021,16
1796,36023,19
1797,36025,34
1798,36027,25
1799,36029,22
1800,36031,59
1801,36033,36
1802,36035,24
1803,36037,13
1804,36039,21
1805,36041,67
1806,36043,46
1807,36045,26
1808,36047,0
1809,36049,33
1810,36051,15
1811,36053,21
1812,36055,15
1813,36057,14
1814,36059,0
1815,36061,0
1816,36063,14
1817,36065,41
1818,36067,18
1819,36069,19
1820,36071,28
1821,36073,6
1822,36075,28
1823,36077,23
1824,36079,11
1825,36081,0
1826,36083,18
1827,36085,0
1828,36087,9
1829,36089,45
1830,36091,27
1831,36093,5
1832,36095,17
1833,36097,12
1834,36099,5
1835,36101,26
1836,36103,5
1837,36105,39
1838,36107,13
1839,36109,14
1840,36111,24
1841,36113,28
1842,36115,25
1843,36117,15
1844,36119,19
1845,36121,22
1846,36123,8
1847,37001,11
1848,37003,12
1849,37005,10
1850,37007,12
1851,37009,12
1852,37011,10
1853,37013,16
1854,37015,12
1855,37017,11
1856,37019,17
1857,37021,13
1858,37023,14
1859,37025,10
1860,37027,15
1861,37029,7
1862,37031,7
1863,37033,12
1864,37035,12
